jd_id,role,jd_text,extracted_skills,
ds_jd_11,Data Scientist,"

### **ML/Python Backend Engineer (Part-Time, Remote - Sri Lanka)**

**About Catalyst Labs:**  
Catalyst Labs empowers businesses through exceptional offshore teams specializing in BPO and KPO services. We're looking for a motivated **ML/Python Backend Engineer** to join our remote Sri Lankan team part-time, developing innovative features for generative AI applications using LiteLLM, LangChain, and OpenAI APIs.

---

**Key Responsibilities:**
- Develop and maintain APIs using FastAPI.
- Integrate LLM APIs (OpenAI, Groq, Anthropic).
- Work with vector databases for AI-powered applications.
- Develop and optimize asynchronous Python applications (Asyncio, HTTPX).

---

**Required Qualifications:**
- Proficiency with FastAPI and developing RESTful APIs.
- Experience with LLM API providers (OpenAI, Groq, Anthropic).
- Familiarity with vector databases.
- Experience with asynchronous Python libraries (Asyncio, HTTPX).

**Preferred Qualifications:**
- Ability to write async wrappers for non-async libraries.
- AWS cloud experience.
- Git and GitHub Actions proficiency.
- Experience writing unit tests for AI/LLM applications.
- Understanding of Agentic and RAG design patterns.
- Strong grasp of OOP and SOLID principles.

**Educational Qualifications:**
- Degree in Software Engineering, Computer Science, or related field.

---

**Benefits:**
- Fully remote role with flexible working hours.
- Join a dynamic, growth-driven team environment.

","FastAPI, Async Python, LLM Integration, API Development, Vector DB",
ds_jd_12,Data Scientist,"

### **Senior Machine Learning Engineer**

Join **OCTAVE** as a Senior Machine Learning Engineer, and play a critical role in developing, deploying, and optimizing advanced ML models and algorithms. You'll collaborate closely with data scientists, engineers, domain experts, and clients to address complex business challenges.

---

**Key Responsibilities:**
- Develop and deploy scalable machine learning models and pipelines.
- Implement state-of-the-art MLOps practices (feature stores, model monitoring, CI/CD, etc.).
- Optimize ML models for performance and reliability in production environments.
- Research and apply cutting-edge AI/ML techniques and tools.
- Collaborate cross-functionally to align technical solutions with business needs.
- Continuously monitor model performance and implement improvements.
- Maintain comprehensive documentation of code, models, and processes.
- Provide meaningful code reviews and effectively communicate insights and ideas.

---

**Technical Skills:**
- Bachelor's/Master's degree in Computer Science, AI, ML, or related fields.
- At least 1 year of experience developing and deploying ML models.
- Hands-on experience with PySpark optimization in cluster environments.
- Proficient in Python and ML frameworks (TensorFlow, PyTorch, scikit-learn, Keras).
- Experience deploying models using containerization (Docker/Kubernetes) and cloud platforms.
- Passionate about staying current with ML advancements and best practices.

**Soft Skills & Leadership:**
- Strong analytical, problem-solving, and collaborative abilities.
- Excellent communication and stakeholder engagement skills.
- Proven ability to manage projects independently, ensuring timely, high-quality delivery.
- Capable of mentoring junior team members.
","ML model development, MLOps, Python, cloud deployment, problem solving",
ds_jd_13,Data Scientist,"

### **Machine Learning Engineer**

**About Bilby:**  
Bilby is a Hong Kong-based technology firm specializing in analyzing global government policies using publicly available data. We quantify risks and opportunities, providing crucial insights into financial markets and business operations.

We are seeking a skilled Machine Learning Engineer to help us enhance our search capabilities, leverage AI models, and develop innovative data-driven solutions.

---

**Key Responsibilities:**
- Develop and optimize Elasticsearch-based search systems, writing complex queries for performance and accuracy.
- Integrate Large Language Models (LLMs), particularly using OpenAI APIs, to generate intelligent summaries and insights.
- Collaborate with full-stack engineers to deliver comprehensive data-driven products.
- Conduct ML research for document clustering, summarization, and practical graph database applications.

---

**Qualifications:**
- Proven experience with Elasticsearch and complex query optimization.
- Strong knowledge of AI models, especially LLMs and OpenAI integration.
- Experience with ML-driven clustering, summarization, and graph database searches.
- Familiarity with BigQuery and Neo4j or ability to quickly learn these technologies.
- Excellent analytical, problem-solving, and collaborative skills.

---

**Personal Attributes:**
- Thoughtful communicator with excellent interpersonal skills.
- Adaptive, practical, and detail-oriented.
- Results-driven and capable of rapid learning and application of new technologies.

","Elasticsearch, LLM integration, document clustering, BigQuery, problem solving",
ds_jd_14,Data Scientist,"

### **Machine Learning Lead**

As a **Machine Learning Lead**, you'll drive technical vision, team leadership, and successful deployment of AI solutions serving millions of users. You’ll define long-term AI strategies, mentor engineering teams, and lead innovation in scalable machine learning models.

---

**Key Responsibilities:**
- Lead AI and ML strategy, roadmap, and innovation.
- Develop and deploy state-of-the-art deep learning algorithms and large language models (LLMs).
- Design scalable architectures and optimize AI frameworks.
- Collaborate cross-functionally with product, software, sales, and marketing teams.
- Manage ML project lifecycles, resource allocation, timelines, and budgets.
- Mentor and foster a collaborative and innovative AI engineering team.
- Present AI-driven insights to technical and business stakeholders, driving commercial success.

---

**Qualifications:**
- 7-10 years experience building and deploying ML models in large-scale systems.
- Strong hands-on experience with deep learning, particularly training and deploying LLMs.
- Proficient in Python and ML frameworks (PyTorch, Jax, Scikit-learn).
- Proven track record delivering AI products to commercial markets.
- Exceptional communication skills to translate complex technical ideas clearly.
- Experience mentoring engineering teams and managing cross-functional collaboration.

---

**Skills & Competencies:**
- Strategic and innovative leadership in AI/ML.
- Excellent analytical and problem-solving abilities.
- Detail-oriented, with strong organizational skills.
- Effective communicator, capable of engaging diverse audiences.
- Experience scaling AI solutions to millions of users.","AI strategy, deep learning, Python, scalable architectures, communication",
ds_jd_15,Data Scientist,"

### **Data Science Engineer**

We’re seeking a skilled **Data Science Engineer** experienced in Python, AI, data analysis, and pipeline development. You’ll gather, analyze, and model data, build scalable pipelines, and apply machine learning to deliver actionable insights.

---

**Responsibilities:**

- **Data Collection & Preparation:**
  - Gather, clean, and preprocess data from diverse sources.
  - Automate data workflows for improved efficiency and accuracy.

- **Data Analysis & Modeling:**
  - Perform exploratory data analysis (EDA) to uncover trends and insights.
  - Build machine learning models aligned with business objectives.
  - Clearly communicate analytical findings to stakeholders.

- **AI & ML Implementation:**
  - Develop/train ML models using Python (TensorFlow, Keras, Scikit-learn).
  - Experiment with NLP, computer vision, supervised/unsupervised learning.
  - Collaborate with cross-functional teams to deploy AI solutions.

- **Pipeline Development:**
  - Build and maintain robust, efficient data pipelines.
  - Optimize data pipelines for scalability and reliability in production.

- **Collaboration & Communication:**
  - Document analyses, models, and processes clearly.
  - Create visualizations, dashboards, and reports for team and stakeholder use.

- **Continuous Improvement:**
  - Keep up-to-date with industry trends and innovations.
  - Recommend improvements to infrastructure, models, and workflows.

---

**Qualifications:**

- 2+ years of experience in data science, ML, pipelines, and Python.
- Proficiency with Python libraries (Pandas, NumPy, TensorFlow, PySpark, SQLAlchemy).
- Experience deploying ML models to production.
- Familiarity with data visualization tools (Tableau, Power BI, Matplotlib).
- Strong SQL/database skills.
- Excellent communication and teamwork abilities.
- Bachelor’s/Master’s in Data Science, AI, CS, Engineering, or related field.

---

**Preferred Skills:**

- Experience with big data tools (Spark, Hadoop).
- Familiarity with workflow automation (Airflow, Luigi).
- Knowledge of deep learning and NLP.
- Understanding of MLOps and model deployment practices.
- Exposure to cloud platforms (AWS, Google Cloud, Azure).

","Python, data analysis, machine learning, data pipelines, communication",
ds_jd_16,Data Scientist,"
### **AI Engineer**

**About Growth-Prof:**  
Growth-Prof is an innovative fintech company utilizing AI and machine learning to revolutionize banking services. We're dedicated to enhancing transaction processing and customer experience through advanced classification models.

---

### **Job Overview:**  
We're seeking a skilled **AI Engineer** to develop and deploy machine learning models focused on classifying bank transactions. Ideal candidates possess strong ML expertise, software engineering skills, and a passion for applying AI to financial solutions.

---

**Key Responsibilities:**

- Design, develop, and deploy ML models for transaction classification.
- Collaborate with data scientists and product managers to define project requirements.
- Preprocess and analyze large datasets for feature extraction and model training.
- Optimize model performance (accuracy, precision, recall, F1-score).
- Utilize ML frameworks such as TensorFlow, PyTorch, or scikit-learn.
- Deploy and scale models using cloud platforms (e.g., Azure).
- Maintain documentation for models, processes, and results.
- Stay informed on the latest AI/ML advancements and fintech trends.

---

**Qualifications:**

- Bachelor’s/Master’s degree in Computer Science, Data Science, or related fields.
- Proven experience developing classification-focused ML models.
- Strong Python programming skills (NumPy, pandas, scikit-learn).
- Experience with deep learning frameworks (TensorFlow, Keras, PyTorch).
- Expertise in data preprocessing, feature engineering, and evaluation.
- Knowledge of banking or financial fraud detection (preferred).
- Excellent analytical, problem-solving, and communication skills.

---

**Additional Information:**

- Competitive salary and benefits.
- Opportunity to work on cutting-edge fintech AI projects.
- Collaborative, supportive team environment emphasizing continuous learning.
- Full-time, two-year commitment (Independent Contractor).

---","ML classification, Python, ML frameworks, data preprocessing, cloud deployment",   
ds_jd_17,Data Scientist,"

### **Senior Machine Learning Engineer – OCTAVE**

Join **OCTAVE**, the analytics and digital insights team of **John Keells Holdings PLC (JKH)**, Sri Lanka’s largest listed conglomerate. We leverage one of Sri Lanka’s richest data lakes to drive strategic decisions, build innovative ML solutions, and positively impact millions.

---

### **Role Overview:**
As a **Senior ML Engineer**, you'll develop, deploy, and optimize machine learning models and pipelines. You'll collaborate cross-functionally to solve complex business problems, utilizing state-of-the-art ML and MLOps practices.

---

### **Key Responsibilities:**
- Design, build, and deploy scalable machine learning models and algorithms.
- Optimize and manage ML pipelines for production readiness.
- Implement advanced MLOps best practices (feature stores, CI/CD, monitoring, etc.).
- Continuously evaluate and enhance model performance and reliability.
- Research emerging AI/ML techniques and integrate relevant innovations.
- Collaborate closely with data scientists, engineers, and domain experts.
- Document processes, models, and technical solutions comprehensively.
- Contribute to code reviews, discussions, and knowledge sharing.

---

### **Qualifications & Experience:**

**Technical:**
- Bachelor's/Master’s degree in Computer Science, AI, Machine Learning, Mathematics, or related field.
- Minimum 3 years of hands-on experience developing and deploying ML models.
- Strong proficiency in Python and PySpark (including performance optimization).
- Expertise in ML libraries: TensorFlow, PyTorch, Scikit-learn, Keras.
- Experience deploying ML models in cloud environments (Azure preferred) and containerization (Docker/Kubernetes).
- Passionate about continuous learning and staying current with ML advancements.

**Soft Skills:**
- Excellent analytical, problem-solving, and communication skills.
- Collaborative, team-oriented mindset.
- Strong sense of ownership, accountability, and project delivery.
- Ability to mentor and lead junior team members.

","ML model development, MLOps, Python, cloud deployment, problem solving",
ds_jd_18,Data Scientist,"

### **AI Engineer**

**Key Requirements:**
- 1–2 years of hands-on experience in AI, including exploratory data analysis, data pipeline development, model building, and evaluation.
- Strong theoretical and practical knowledge of Machine Learning.
- Experience developing deep learning models, especially for NLP applications.
- Familiarity with Generative AI, advanced prompting techniques, and model fine-tuning.
- Experience building pipelines integrating externally hosted (and ideally locally hosted) Large Language Models (LLMs).
- Comprehensive experience implementing and evaluating Retrieval-Augmented Generation (RAG) pipelines.
- Proficiency with orchestration frameworks (e.g., LangChain) for efficient LLM usage.
- Familiarity with evaluation frameworks for Generative AI text-generation (e.g., RAGAs, TruLens).

---","deep learning NLP, generative AI, LLM pipelines, RAG pipelines, orchestration frameworks",
ds_jd_19,Data Scientist,"

### **Machine Learning Engineer**

Join our small, dynamic team focused on designing, building, and maintaining innovative ML products that power our business. You'll develop mission-critical applications, ML models, and data integrations using large-scale datasets and cutting-edge techniques.

---

**Responsibilities:**
- Design, build, test, optimize, and deploy ML pipelines in production.
- Research and implement ML algorithms (predictive modeling, computer vision, NLP, OCR, etc.).
- Collaborate with cross-functional teams from concept to deployment, ensuring technical excellence and timely delivery.
- Adhere to established engineering practices, coding standards, and quality controls.
- Ensure ML applications meet client requirements and deadlines.

---

**Requirements:**
- 3+ years experience as a Data Scientist or ML Engineer.
- 3+ years coding experience in Python and/or R.
- 2+ years experience with ML/DL applications (predictive modeling, computer vision, NLP, OCR).
- Solid understanding of data science, ML frameworks, data visualization, and model optimization techniques.

---","ML pipeline development, ML algorithm implementation, Python coding, data visualization, model optimization",
ds_jd_20,Data Scientist,"

### **Staff Machine Learning Engineer**

**Location:** Sri Lanka  
**Company:** Synopsys Central Engineering (SCE)

Join Synopsys’ world-class SCE team as a **Staff Machine Learning Engineer**, leading and developing cutting-edge AI/ML tools and applications. You’ll work collaboratively to build innovative software solutions deployed in cloud and on-prem environments.

---

### **Responsibilities:**
- Lead technical direction and execution of AI/ML projects.
- Design, develop, and implement AI/ML-based solutions.
- Integrate advanced AI/ML techniques into existing software products.
- Re-design and enhance existing applications to boost R&D productivity.

---

### **Required Qualifications:**
- BSc/MSc in Computer Science, Electronics Engineering, or related fields.
- 7+ years of industry experience in software development and deployment.
- Strong expertise in Data Structures & Algorithms.
- Knowledge and experience with Machine Learning and Data Science.
- Excellent programming skills, especially in Python.
- Familiarity with cloud technologies and distributed computing (preferred).
- Proven leadership and team collaboration abilities.
- Ability to quickly learn and adapt to new technologies.

---

### **About Synopsys:**
Synopsys, Inc. is a global leader in electronic design automation (EDA), semiconductor IP, and software quality/security solutions, ranked as the world’s 15th-largest software company. We power innovations such as self-driving cars, AI, cloud computing, 5G, and IoT, shaping the ""Era of Smart Everything.""

**We value inclusion and diversity**, welcoming applicants from all backgrounds.

---","ML solution development, Python programming, data structures algorithms, cloud computing, leadership",
se_jd_01,Software engineer,"
**Software Engineer - Job Description**

**About WorkWave:**  
WorkWave provides SaaS solutions for field service management, serving industries like HVAC, Plumbing & Electrical, Cleaning, Lawn & Landscape, Home Delivery, Logistics & Distribution. We empower businesses to deliver exceptional customer experiences and drive growth using our intuitive platform.

**Role Overview:**  
We’re seeking innovative Software Engineers to join our collaborative team of developers, product managers, and UI/UX designers. You'll contribute to building and enhancing WorkWave’s suite of products.

**Responsibilities:**  
- Design, develop, and maintain software applications, including new features and system improvements.
- Maintain and enhance Windows WinForms applications.
- Support development and enhancement of web and mobile applications.
- Write and execute unit tests to ensure software quality.
- Provide technical guidance to team members and stakeholders.
- Collaborate with cross-functional teams to deliver high-quality solutions.
- Create and maintain technical documentation and best practice guides.

**Qualifications:**  
- Bachelor’s degree in Software Engineering, IT, or Computer Science.
- 3-7 years of experience in .NET framework (C#, VB.NET).
- Experience with React or MAUI (mobile) is a plus.
- Familiarity with Azure cloud services (App Services, Service Bus, Function Apps, Azure DevOps).
- Knowledge of Agile development (tools like Jira).
- Strong problem-solving skills and attention to detail.
- Excellent communication and teamwork skills.

**Additional Information:**  
We value flexibility, offering a balanced hybrid environment combining remote work and in-office collaboration to foster community and innovation.",".NET, WinForms, Azure, Agile, problem solving",
se_jd_02,Software engineer,"
**Senior Software Engineer**

**About Noon:**  
Noon is the largest e-commerce platform in the Middle East, rapidly expanding across e-commerce, quick-commerce, fintech, food delivery, grocery, and fashion. We’re ambitious, innovative, and shaping the future of online shopping.

**Key Responsibilities:**  
- Develop and deliver high-quality, scalable solutions.
- Evaluate and optimize API designs for app implementation.
- Identify new technologies and patterns to enhance architecture.
- Prototype new features collaboratively with product teams.
- Work closely with Back-End, DevOps, and Infrastructure teams.
- Contribute to technical planning and strategic roadmaps.
- Support organizational goals and overall technical performance.

**Skills Required:**  
- 5+ years as a Software Engineer; senior-level experience required.
- 1-2 years of team leadership experience preferred.
- Bachelor’s degree in Computer Science or related field (Master’s preferred).
- Strong knowledge of system design, data structures, and algorithms.
- Expertise in JavaScript, React, React Native, NodeJS, and TypeScript.
- Solid understanding of data/state management, UI, and API design.
- Hands-on experience with cloud platforms.
- Highly accountable, self-driven, and capable of managing large-scale projects end-to-end.","JavaScript, React, NodeJS, system design, cloud platforms",
se_jd_03,Software engineer,"
**Principal Software Engineer**

**Summary:**  
The Principal Software Engineer leads the software development team, ensuring high-quality design, delivery, and adherence to best practices. This hands-on role involves collaboration with business analysts, architects, QA, project managers, and clients to deliver timely and robust solutions.

**Key Responsibilities:**  
- Lead software development projects, ensuring timely and quality delivery.
- Collaborate closely with cross-functional teams to define requirements, solutions, and project timelines.
- Introduce new technologies to enhance solution capabilities.
- Foster a culture focused on accountability, ownership, and continuous improvement.
- Set and enforce development standards, conduct code reviews, and mentor team members.
- Ensure maintainability and scalability of code.
- Strategically manage team resources, skills, and workloads.

**Qualifications & Experience:**  
- Bachelor’s degree in Computer Science or related field.
- 9+ years in commercial software development; 4+ years leading development teams.
- Deep expertise in Java, plus proficiency in another programming language.
- Experience with frontend and backend technologies, scripting (e.g., Python), and frameworks like Spring.
- Background in cloud-native, high-volume transactional systems.
- Familiarity with AWS (preferred), Azure, or GCP.
- Strong knowledge of CI/CD, DevOps practices, SDLC, API design/integration, and test-driven development.
- Experience in modernizing legacy applications and managing technical debt.

**Skills & Abilities:**  
- Strong understanding of Object-Oriented principles and functional programming.
- Proficient in relational/non-relational databases.
- Skilled in infrastructure-as-code and DevOps tools.
- Excellent communication and analytical skills.","Java, full stack development, cloud platforms, CI CD DevOps, API design",
